Uniprot,#Peptides_Macron2018A,#Peptides_Macron2020,#Peptides_Zhang2015,#Peptides_Guldbrandsen2014,#Peptides_Macron2018B,#Peptides_Schutzer2010,#Peptides_NunezGalindo2015,#Peptides_Zougman2007,#Peptides_Schilde2018,#Peptides_Guo2015,#Peptides_Stoop2010,#Studies
Q6UXB8,11.0,13.0,10.0,19.0,7.0,10.0,3.0,2.0,4.0,12.0,2.0,11
Q6UXB4,1.0,2.0,,,,,,,,,,2
P51805,6.0,5.0,9.0,5.0,,2.0,,,,,,5
P31321,5.0,5.0,7.0,6.0,2.0,,,,,,,5
Q8IZF2,2.0,4.0,13.0,4.0,1.0,,,,,,,5
P26641,2.0,6.0,3.0,2.0,2.0,,,,,,,5
Q6E0U4,8.0,10.0,3.0,,7.0,,1.0,,,,,5
P26639,1.0,3.0,,,1.0,,,,,,,3
Q15375,12.0,13.0,13.0,12.0,6.0,8.0,1.0,,3.0,8.0,,9
Q15366,5.0,6.0,,,,,,,,,,2
Q15365,9.0,8.0,3.0,2.0,4.0,,,,,,,5
Q8IZA0,3.0,8.0,10.0,2.0,,3.0,,,,,,5
Q6UWY5,7.0,7.0,9.0,3.0,1.0,1.0,,,,,,6
P41594,5.0,5.0,2.0,,1.0,,,,,,,4
Q6UX73,12.0,9.0,14.0,29.0,6.0,22.0,6.0,12.0,5.0,10.0,,10
Q6UX72,6.0,7.0,7.0,2.0,3.0,2.0,,,,,,6
Q6UX71,14.0,18.0,14.0,22.0,7.0,11.0,2.0,8.0,4.0,14.0,,10
P36896,1.0,4.0,3.0,3.0,1.0,2.0,,,,,,6
O94991,5.0,8.0,14.0,11.0,3.0,8.0,,,,6.0,,7
Q15303,4.0,8.0,17.0,11.0,2.0,2.0,,2.0,,,,7
O94985,48.0,62.0,44.0,74.0,37.0,92.0,25.0,23.0,19.0,54.0,9.0,11
O43399,1.0,5.0,4.0,1.0,,1.0,,,,,,5
O00479,1.0,3.0,,,,,,,,,,2
O00478,2.0,3.0,,,,,,,,,,2
O94973,5.0,3.0,9.0,3.0,1.0,3.0,,,,,,6
P36871,5.0,9.0,17.0,16.0,3.0,12.0,,,,,,6
Q6UWR7,3.0,3.0,11.0,12.0,2.0,14.0,,,,,,6
O00468,38.0,43.0,55.0,55.0,25.0,27.0,5.0,14.0,8.0,18.0,,10
O00462,10.0,17.0,33.0,35.0,8.0,17.0,,11.0,4.0,10.0,,9
O00461,19.0,24.0,11.0,8.0,12.0,10.0,1.0,,2.0,,,8
O94956,1.0,,,,,,,,,,,1
Q6UWP8,8.0,8.0,,,8.0,,,,,,,3
Q6UX15,3.0,2.0,5.0,4.0,,1.0,,,,,,5
Q6YFQ2,1.0,,,,,,,,,,,1
Q92896,15.0,19.0,30.0,12.0,13.0,5.0,1.0,,,,,7
O94933,4.0,5.0,10.0,11.0,4.0,6.0,,,,,,6
Q92890,3.0,,4.0,1.0,1.0,1.0,,,,,,5
Q6UWN8,1.0,4.0,,2.0,2.0,1.0,,,,,,5
Q92878,1.0,,,,,,,,,,,1
Q92876,27.0,46.0,16.0,50.0,21.0,34.0,8.0,12.0,7.0,30.0,12.0,11
O94910,25.0,24.0,30.0,31.0,15.0,23.0,5.0,9.0,10.0,8.0,,10
Q6NZI2,1.0,,,,1.0,,,,,,,2
O94905,1.0,,,,,,,,,,,1
O94903,1.0,,,,,,,,,,,1
Q92859,40.0,40.0,42.0,62.0,26.0,66.0,8.0,17.0,17.0,24.0,,10
Q92854,7.0,10.0,8.0,9.0,7.0,7.0,,,,,,6
Q99584,2.0,3.0,3.0,2.0,1.0,,,,,,,5
Q8TEU8,25.0,32.0,22.0,26.0,22.0,11.0,14.0,9.0,6.0,14.0,,10
Q5DX21,1.0,,,,,1.0,,,,,,2
Q99575,1.0,,,,,,,,,,,1
Q99574,16.0,15.0,21.0,35.0,10.0,35.0,6.0,16.0,7.0,14.0,2.0,11
Q92838,1.0,,,,1.0,,,,,,,2
Q92832,4.0,5.0,9.0,7.0,3.0,,,,,,,5
Q6UWH4,9.0,14.0,17.0,7.0,2.0,6.0,,,,,,6
P58499,4.0,6.0,5.0,,2.0,,,,,,,4
P63151,1.0,,,,,,,,,,,1
Q92823,51.0,72.0,46.0,94.0,38.0,106.0,25.0,42.0,24.0,66.0,8.0,11
Q92820,5.0,8.0,11.0,15.0,5.0,17.0,1.0,7.0,4.0,12.0,,10
Q86YT9,1.0,2.0,3.0,4.0,,,,,,,,4
Q99542,3.0,2.0,9.0,1.0,1.0,,,,,,,5
Q99538,4.0,5.0,10.0,14.0,2.0,9.0,,,,,,6
Q92804,2.0,4.0,,,,,,,,,,2
Q99523,11.0,12.0,12.0,11.0,7.0,4.0,1.0,4.0,4.0,4.0,,10
Q99519,3.0,6.0,9.0,7.0,2.0,3.0,,,,,,6
Q8IYJ2,1.0,,,,,,,,,,,1
Q8IYJ0,1.0,2.0,2.0,,1.0,,1.0,,,,,5
O95758,1.0,3.0,,,,,,,,,,2
P63104,13.0,13.0,,15.0,9.0,20.0,2.0,5.0,3.0,,,8
P26583,5.0,5.0,3.0,,4.0,,1.0,,,,,5
P26572,8.0,7.0,17.0,12.0,5.0,7.0,1.0,4.0,,,,8
Q02388,1.0,,5.0,1.0,,,,,,,,3
Q9Y279,10.0,12.0,9.0,13.0,8.0,11.0,3.0,3.0,3.0,,,9
P58417,3.0,3.0,6.0,3.0,2.0,,,,,,,5
P58401,12.0,12.0,,10.0,8.0,,,,,,,4
P58400,13.0,22.0,,13.0,12.0,11.0,,,,,,5
Q86YL7,1.0,,,,,,,,,,,1
Q15293,11.0,10.0,9.0,7.0,8.0,4.0,3.0,,,,,7
Q86Y78,1.0,,2.0,,,,,,,,,2
P61981,13.0,15.0,,10.0,10.0,12.0,2.0,3.0,,,,7
P61978,7.0,8.0,8.0,,3.0,1.0,,,,,,5
P61970,3.0,2.0,7.0,11.0,2.0,2.0,,,,6.0,,7
