No.	UniProtKB ID	Entry Name	Organism	Gene Name
190	P17948	VGFR1_HUMAN	Homo sapiens (Human)	FLT1
191	P15328	FOLR1_HUMAN	Homo sapiens (Human)	FOLR1
192	P09958	FURIN_HUMAN	Homo sapiens (Human)	FURIN
193	P41047	TNFL6_MOUSE	Mus musculus (Mouse)	Faslg
194	P20693	FCER2_MOUSE	Mus musculus (Mouse)	Fcer2
195	Q61851	FGFR3_MOUSE	Mus musculus (Mouse)	Fgfr3
196	P12804	FGL2_MOUSE	Mus musculus (Mouse)	Fgl2
197	P49772	FLT3L_MOUSE	Mus musculus (Mouse)	Flt3lg
199	P10912	GHR_HUMAN	Homo sapiens (Human)	GHR
198	P19941	GHR_RABIT	Oryctolagus cuniculus (Rabbit)	GHR
200	O00461	GOLI4_HUMAN	Homo sapiens (Human)	GOLIM4
201	Q8NBJ4	GOLM1_HUMAN	Homo sapiens (Human)	GOLM1
202	P07359	GP1BA_HUMAN	Homo sapiens (Human)	GP1BA
203	P40197	GPV_HUMAN	Homo sapiens (Human)	GP5
204	Q9HCN6	GPVI_HUMAN	Homo sapiens (Human)	GP6
205	P50593	GPC1_CHICK	Gallus gallus (Chicken)	GPC1
206	P51654	GPC3_HUMAN	Homo sapiens (Human)	GPC3
207	Q14956	GPNMB_HUMAN	Homo sapiens (Human)	GPNMB
208	O15354	GPR37_HUMAN	Homo sapiens (Human)	GPR37
209	P42263	GRIA3_HUMAN	Homo sapiens (Human)	GRIA3
210	Q05683	DCE2_RAT	Rattus norvegicus (Rat)	Gad2
211	Q8BMF8	GLDN_MOUSE	Mus musculus (Mouse)	Gldn
212	O35930	GP1BA_MOUSE	Mus musculus (Mouse)	Gp1ba
213	O08742	GPV_MOUSE	Mus musculus (Mouse)	Gp5
214	P51655	GPC4_MOUSE	Mus musculus (Mouse)	Gpc4
215	P35439	NMDZ1_RAT	Rattus norvegicus (Rat)	Grin1
216	Q96D42	HAVR1_HUMAN	Homo sapiens (Human)	HAVCR1
217	Q8TDQ0	HAVR2_HUMAN	Homo sapiens (Human)	HAVCR2
218	Q99075	HBEGF_HUMAN	Homo sapiens (Human)	HBEGF
219	P14210	HGF_HUMAN	Homo sapiens (Human)	HGF
220	Q6ZVN8	RGMC_HUMAN	Homo sapiens (Human)	HJV
221	P04439	HLAA_HUMAN	Homo sapiens (Human)	HLA-A
222	P13747	HLAE_HUMAN	Homo sapiens (Human)	HLA-E
223	P17693	HLAG_HUMAN	Homo sapiens (Human)	HLA-G
224	P05981	HEPS_HUMAN	Homo sapiens (Human)	HPN
225	Q5QNS5	HAVR1_MOUSE	Mus musculus (Mouse)	Havcr1
226	Q06186	HBEGF_MOUSE	Mus musculus (Mouse)	Hbegf
227	P05362	ICAM1_HUMAN	Homo sapiens (Human)	ICAM1
228	P13598	ICAM2_HUMAN	Homo sapiens (Human)	ICAM2
229	P32942	ICAM3_HUMAN	Homo sapiens (Human)	ICAM3
230	P48551	INAR2_HUMAN	Homo sapiens (Human)	IFNAR2
231	P08069	IGF1R_HUMAN	Homo sapiens (Human)	IGF1R
232	P11717	MPRI_HUMAN	Homo sapiens (Human)	IGF2R
