Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
QSOX1|O00391;QSOX1;grey;6,3E-03;8,1E-02;-0,122
GYG1|P46976;GYG1;darkgrey;6,3E-03;8,1E-02;-0,143
ATOX1|E5RIM7;ATOX1;yellowgreen;6,3E-03;8,1E-02;0,150
CORO1A|P31146;CORO1A;turquoise;6,4E-03;8,1E-02;-0,164
MATN2|O00339-2;MATN2;NA;6,4E-03;8,1E-02;-0,106
NEFL|P07196;NEFL;yellow;6,6E-03;8,3E-02;0,493
HLA-A|P30443;HLA-A;grey;6,6E-03;8,4E-02;0,939
VTN|P04004;VTN;red;6,7E-03;8,5E-02;-0,320
EPHA5|B7ZKJ3;EPHA5;grey;6,8E-03;8,6E-02;-0,130
RAD23A|P54725;RAD23A;grey;7,1E-03;8,8E-02;0,127
BNIP3|Q12983;BNIP3;turquoise;7,3E-03;9,1E-02;0,261
FMOD|Q06828;FMOD;red;7,5E-03;9,3E-02;-0,159
SERPINA10|G3V2W1;SERPINA10;NA;7,6E-03;9,4E-02;-0,219
SLIT2|X6R3P0;SLIT2;saddlebrown;7,6E-03;9,4E-02;0,156
CRHBP|P24387;CRHBP;grey60;8,2E-03;1,0E-01;-0,186
F2|P00734;F2;red;8,2E-03;1,0E-01;-0,290
B3GNT2|Q9NY97;B3GNT2;NA;8,4E-03;1,0E-01;-0,154
SLITRK6|Q9H5Y7;SLITRK6;NA;8,5E-03;1,0E-01;-0,251
C8G|P07360;C8G;NA;8,6E-03;1,0E-01;-0,270
SCUBE3|Q8IX30-2;SCUBE3;NA;8,6E-03;1,0E-01;0,126
F10|P00742;F10;NA;8,9E-03;1,1E-01;-0,192
LTBP3|Q9NS15;LTBP3;NA;9,0E-03;1,1E-01;0,080
C1QTNF1|Q9BXJ1-2;C1QTNF1;NA;9,0E-03;1,1E-01;-0,159
SERPINF2|P08697;SERPINF2;grey;9,1E-03;1,1E-01;-0,308
TMX4|Q9H1E5;TMX4;black;9,2E-03;1,1E-01;0,235
IFNAR2|P48551;IFNAR2;NA;9,3E-03;1,1E-01;-0,165
FN1|P02751-10;FN1;red;9,4E-03;1,1E-01;-0,189
C9orf64|Q5T6V5;C9orf64;blue;9,6E-03;1,1E-01;0,142
IGSF21|Q96ID5;IGSF21;turquoise;9,8E-03;1,1E-01;-0,097
PREP|P48147;PREP;turquoise;9,8E-03;1,1E-01;0,124
THOP1|P52888;THOP1;magenta;9,9E-03;1,1E-01;0,151
GMFB|P60983;GMFB;green;1,0E-02;1,1E-01;0,130
TBC1D10B|Q4KMP7;TBC1D10B;turquoise;1,0E-02;1,2E-01;0,243
