Table S2A. CSF Discovery Differential Expression by T-Test Analysis ;;;;;
       Yellow shaded proteins (n=65) were used in cluster analysis of Figure 1D.  ;;;;;
"       Abbreviations: BH, Benjamini-Hochberg; FDR, False Discovery Rate ";;;;;
;;;;;
Protein ID;Gene Symbol;Brain Module;T-Test CT vs AD;;Log2 Difference
;;;p Value;BH FDR;AD-CT
F12|P00748;F12;orange;0,1977;0,5306;-0,150
PRG4|Q92954;PRG4;NA;0,1979;0,5306;-0,116
RBP3|P10745;RBP3;NA;0,1982;0,5306;-0,164
HNRNPC|P07910;HNRNPC;darkred;0,1982;0,5306;-0,136
SEMA3B|Q13214;SEMA3B;NA;0,1983;0,5306;-0,086
SPON2|Q9BUD6;SPON2;NA;0,1984;0,5306;-0,097
PLCB1|Q9NQ66;PLCB1;turquoise;0,1987;0,5306;0,125
VSNL1|P62760;VSNL1;turquoise;0,1988;0,5306;0,076
GPT|P24298;GPT;saddlebrown;0,1996;0,5315;0,091
NAPB|A0A087WZQ7;NAPB;turquoise;0,1998;0,5315;-0,172
PSMA3|P25788;PSMA3;steelblue;0,1998;0,5315;0,121
EIF4A1|P60842;EIF4A1;green;0,1999;0,5315;-0,081
S100A2|P29034;S100A2;NA;0,2001;0,5316;-0,542
ABI3BP|D3YTG3;ABI3BP;red;0,2004;0,5321;-0,067
RTN4RL2|Q86UN3;RTN4RL2;grey;0,2009;0,5325;-0,073
FTH1|P02794;FTH1;yellow;0,2010;0,5325;0,089
PTHLH|P12272-3;PTHLH;NA;0,2016;0,5338;-0,092
ZNF638|Q14966;ZNF638;grey;0,2024;0,5354;0,284
KITLG|P21583;KITLG;NA;0,2027;0,5357;-0,090
LAIR1|Q6GTX8;LAIR1;NA;0,2029;0,5357;0,243
TRIL|Q7L0X0;TRIL;NA;0,2034;0,5366;0,056
RPS25|P62851;RPS25;grey;0,2041;0,5378;-0,220
ITFG3|Q9H0X4;ITFG3;skyblue;0,2053;0,5406;-0,040
STX1B|P61266;STX1B;turquoise;0,2059;0,5415;0,092
ANKRD33B|A6NCL7;ANKRD33B;NA;0,2079;0,5463;0,148
MPZL1|O95297;MPZL1;red;0,2084;0,5470;-0,038
VCP|P55072;VCP;green;0,2086;0,5472;-0,120
JUP|P14923;JUP;red;0,2088;0,5473;0,126
FZD6|O60353;FZD6;NA;0,2094;0,5478;-0,070
CFHR4|Q92496;CFHR4;NA;0,2094;0,5478;-0,231
APMAP|Q9HDC9;APMAP;brown;0,2101;0,5483;-0,081
CHST3|Q7LGC8;CHST3;NA;0,2102;0,5483;-0,070
TPM3|P06753-4;TPM3;grey;0,2103;0,5483;-0,095
ATP1B1|P05026;ATP1B1;turquoise;0,2104;0,5483;-0,050
FAT2|Q9NYQ8;FAT2;NA;0,2113;0,5503;-0,079
GPX1|P07203;GPX1;steelblue;0,2115;0,5503;-0,248
C5|P01031;C5;midnightblue;0,2117;0,5503;-0,174
SEMA4B|J3KNP4;SEMA4B;NA;0,2119;0,5503;-0,056
CA9|Q16790;CA9;NA;0,2121;0,5503;-0,134
RTN4RL1|Q86UN2;RTN4RL1;NA;0,2126;0,5506;-0,080
FLG2|Q5D862;FLG2;NA;0,2127;0,5506;0,165
SCPEP1|Q9HB40;SCPEP1;steelblue;0,2130;0,5506;-0,132
PROCR|Q9UNN8;PROCR;NA;0,2132;0,5506;-0,069
CADM4|Q8NFZ8;CADM4;yellow;0,2133;0,5506;0,033
PCM1|Q15154;PCM1;turquoise;0,2134;0,5506;0,068
CFHR1|Q03591;CFHR1;midnightblue;0,2138;0,5512;-0,127
HLA-A|P01892;HLA-A;magenta;0,2140;0,5512;0,202
RNASE2|P10153;RNASE2;NA;0,2142;0,5512;0,075
PFAS|O15067;PFAS;blue;0,2144;0,5512;-0,185
MYRF|Q9Y2G1;MYRF;NA;0,2149;0,5522;-0,083
SLITRK3|O94933;SLITRK3;NA;0,2151;0,5522;-0,098
LRRN1|Q6UXK5;LRRN1;NA;0,2153;0,5522;-0,039
IGFBP1|P08833;IGFBP1;NA;0,2156;0,5523;0,115
PSMB5|P28074;PSMB5;grey;0,2157;0,5523;0,102
NTNG2|Q96CW9;NTNG2;turquoise;0,2160;0,5524;-0,073
PSMA1|P25786-2;PSMA1;skyblue3;0,2171;0,5544;0,094
CHPF|Q8IZ52;CHPF;NA;0,2175;0,5544;0,075
MMP3|P08254;MMP3;NA;0,2176;0,5544;-0,106
TNFRSF12A|Q9NP84;TNFRSF12A;NA;0,2177;0,5544;0,088
GFAP|P14136;GFAP;darkgrey;0,2178;0,5544;0,132
CAMP|J3KNB4;CAMP;NA;0,2179;0,5544;-0,155
APOH|P02749;APOH;midnightblue;0,2187;0,5558;-0,136
NELL2|Q99435-3;NELL2;grey;0,2190;0,5562;-0,073
CD209|Q9NNX6-3;CD209;NA;0,2193;0,5563;0,172
CASC4|Q6P4E1-4;CASC4;cyan;0,2196;0,5563;0,053
SERBP1|Q8NC51;SERBP1;darkred;0,2197;0,5563;0,092
SYPL1|Q16563;SYPL1;NA;0,2198;0,5563;-0,067
NPTX1|Q15818;NPTX1;turquoise;0,2200;0,5563;-0,065
GNG7|O60262;GNG7;salmon;0,2205;0,5570;-0,134
SCG5|P05408;SCG5;grey;0,2212;0,5584;-0,072
TYRO3|Q06418;TYRO3;grey;0,2222;0,5595;-0,058
CACNA2D2|C9JVC9;CACNA2D2;brown;0,2223;0,5595;-0,126
SLC6A11|P48066;SLC6A11;orange;0,2223;0,5595;0,049
ART3|Q13508;ART3;cyan;0,2224;0,5595;-0,073
NAGPA|Q9UK23;NAGPA;NA;0,2237;0,5623;0,054
HLA-B|P30462;HLA-B;grey;0,2250;0,5646;-0,101
HSPA1B|P08107;HSPA1B;NA;0,2250;0,5646;-0,054
NPPC|P23582;NPPC;NA;0,2253;0,5646;0,045
MTIF3|Q9H2K0;MTIF3;darkorange;0,2259;0,5657;-0,072
LAMP1|P11279;LAMP1;blue;0,2264;0,5663;0,071
FLRT2|O43155;FLRT2;brown;0,2266;0,5663;-0,051
FUT11|Q495W5;FUT11;NA;0,2267;0,5663;-0,050
A2M|P01023;A2M;midnightblue;0,2271;0,5663;0,283
PTGDS|P41222;PTGDS;blue;0,2280;0,5663;0,039
FCGBP|Q9Y6R7;FCGBP;darkgrey;0,2285;0,5663;-0,145
GPX4|K7EJ20;GPX4;grey;0,2285;0,5663;-0,128
PPBP|P02775;PPBP;midnightblue;0,2285;0,5663;-0,152
AKAP11|Q9UKA4;AKAP11;NA;0,2287;0,5663;0,072
S100A8|P05109;S100A8;plum1;0,2292;0,5663;-0,163
CLEC9A|Q6UXN8;CLEC9A;NA;0,2293;0,5663;-0,071
FKBP4|Q02790;FKBP4;darkolivegreen;0,2294;0,5663;0,046
CHST11|Q9NPF2;CHST11;NA;0,2297;0,5663;-0,056
IGHM|A0A087X2C0;IGHM;midnightblue;0,2299;0,5663;-0,178
OTUB1|F5GYJ8;OTUB1;purple;0,2299;0,5663;0,093
BAI3|O60242;BAI3;turquoise;0,2302;0,5663;-0,065
DDX23|Q9BUQ8;DDX23;green;0,2307;0,5663;-0,232
SERPINB8|P50452;SERPINB8;lightcyan1;0,2308;0,5663;0,109
ADM|P35318;ADM;NA;0,2310;0,5663;-0,073
ITGB2|D3DSM0;ITGB2;green;0,2311;0,5663;0,100
IGDCC4|Q8TDY8;IGDCC4;NA;0,2312;0,5663;0,057
OPALIN|Q96PE5;OPALIN;yellow;0,2312;0,5663;-0,127
VAT1L|Q9HCJ6;VAT1L;orange;0,2313;0,5663;0,079
NID1|P14543;NID1;red;0,2316;0,5663;-0,040
SLC6A1|P30531;SLC6A1;turquoise;0,2318;0,5663;0,042
B4GALT1|P15291;B4GALT1;NA;0,2322;0,5663;-0,075
UNC5B|Q8IZJ1;UNC5B;yellow;0,2324;0,5663;0,047
WFDC12|Q8WWY7;WFDC12;NA;0,2324;0,5663;0,147
CD8A|P01732-3;CD8A;NA;0,2325;0,5663;-0,077
ARG1|P05089;ARG1;floralwhite;0,2325;0,5663;0,113
IGHV3-49|A0A0A0MS15;IGHV3-49;NA;0,2327;0,5663;0,283
ANPEP|P15144;ANPEP;blue;0,2327;0,5663;-0,066
FHL1|Q13642-5;FHL1;pink;0,2327;0,5663;-0,089
TNFRSF1B|P20333;TNFRSF1B;NA;0,2329;0,5663;0,073
F5|A0A0A0MRJ7;F5;NA;0,2330;0,5663;-0,065
KRT31|Q15323;KRT31;NA;0,2342;0,5687;-0,309
CA14|Q9ULX7;CA14;salmon;0,2345;0,5689;0,055
HSPA5|P11021;HSPA5;brown;0,2350;0,5696;-0,027
FLRT3|Q9NZU0;FLRT3;turquoise;0,2355;0,5705;-0,045
MBP|P02686;MBP;yellow;0,2364;0,5717;-0,120
TFRC|P02786;TFRC;turquoise;0,2364;0,5717;-0,116
MEGF11|A0A0A0MS64;MEGF11;NA;0,2371;0,5717;-0,075
MXRA7|P84157-2;MXRA7;cyan;0,2371;0,5717;-0,067
CRIM1|Q9NZV1;CRIM1;NA;0,2373;0,5717;0,039
SAA1|P0DJI8;SAA1;red;0,2374;0,5717;-0,227
CD82|P27701;CD82;yellow;0,2374;0,5717;-0,125
NCAM1|A0A087WTF6;NCAM1;grey;0,2376;0,5717;0,067
MFI2|P08582;MFI2;red;0,2382;0,5725;0,053
EEF1A1|P68104;EEF1A1;green;0,2388;0,5729;-0,109
HRC|P23327;HRC;NA;0,2389;0,5729;-0,202
PSMA4|P25789;PSMA4;darkred;0,2389;0,5729;0,098
DLD|P09622;DLD;brown;0,2399;0,5747;0,070
PTGES3|A0A087WYT3;PTGES3;blue;0,2404;0,5752;-0,128
TPM4|P67936;TPM4;red;0,2405;0,5752;-0,081
UQCRFS1|P47985;UQCRFS1;brown;0,2408;0,5754;-0,142
TNFRSF14|Q92956;TNFRSF14;NA;0,2414;0,5763;-0,057
LGI1|O95970;LGI1;brown;0,2415;0,5763;-0,065
FAM134A|Q8NC44;FAM134A;black;0,2427;0,5783;0,156
LRRC4C|Q9HCJ2;LRRC4C;greenyellow;0,2430;0,5783;-0,049
RPS3|P23396-2;RPS3;royalblue;0,2430;0,5783;-0,149
CANX|P27824-2;CANX;blue;0,2443;0,5802;0,042
HLA-DRB1|P13761;HLA-DRB1;darkgrey;0,2444;0,5802;0,382
KIAA1467|A2RU67;KIAA1467;grey;0,2447;0,5802;-0,101
DSP|P15924;DSP;red;0,2448;0,5802;0,131
CNTNAP5|Q8WYK1;CNTNAP5;turquoise;0,2450;0,5802;0,044
WNT6|Q9Y6F9;WNT6;NA;0,2452;0,5802;-0,085
GNAS|O95467;GNAS;blue;0,2453;0,5802;-0,056
FSHB|P01225;FSHB;NA;0,2456;0,5802;-0,233
RCN3|Q96D15;RCN3;NA;0,2456;0,5802;-0,150
NCMAP|Q5T1S8;NCMAP;NA;0,2460;0,5805;0,141
NT5E|P21589;NT5E;red;0,2463;0,5805;-0,065
RPLP2|P05387;RPLP2;magenta;0,2463;0,5805;-0,128
SVIP|Q8NHG7;SVIP;darkolivegreen;0,2469;0,5812;0,082
NCCRP1|Q6ZVX7;NCCRP1;NA;0,2471;0,5812;0,130
HNRNPU|Q00839;HNRNPU;lightcyan;0,2478;0,5825;-0,113
HNRNPAB|Q99729-2;HNRNPAB;darkorange;0,2483;0,5833;0,138
HLA-DPB1|P04440;HLA-DPB1;NA;0,2488;0,5837;0,130
GLUD1|P00367;GLUD1;green;0,2489;0,5837;-0,105
HIBADH|P31937;HIBADH;red;0,2500;0,5844;0,044
GDF7|Q7Z4P5;GDF7;NA;0,2503;0,5844;0,157
UNC5D|C9J2B6;UNC5D;turquoise;0,2504;0,5844;0,061
UQCRC2|P22695;UQCRC2;brown;0,2505;0,5844;-0,140
EFNB2|P52799;EFNB2;turquoise;0,2506;0,5844;-0,047
KCNE5|Q9UJ90;KCNE5;NA;0,2506;0,5844;0,107
MASP1|P48740-2;MASP1;NA;0,2509;0,5844;-0,066
CLDND1|Q9NY35;CLDND1;yellow;0,2511;0,5844;-0,068
BCAN|Q96GW7;BCAN;yellow;0,2512;0,5844;0,046
PTPRB|P23467-3;PTPRB;NA;0,2514;0,5844;-0,053
APLP1|S4R3U6;APLP1;blue;0,2515;0,5844;0,099
ENPEP|Q07075;ENPEP;NA;0,2518;0,5844;-0,068
COL5A1|A0A087WXW9;COL5A1;red;0,2518;0,5844;-0,053
TMEM132D|Q14C87;TMEM132D;grey;0,2522;0,5848;-0,098
STUB1|Q9UNE7;STUB1;magenta;0,2526;0,5851;0,077
PGM2|Q96G03;PGM2;lightgreen;0,2530;0,5853;-0,084
HERC1|Q15751;HERC1;magenta;0,2531;0,5853;0,070
CSF2RA|P15509-7;CSF2RA;NA;0,2533;0,5853;-0,109
MMP15|P51511;MMP15;NA;0,2537;0,5860;0,067
SEMA3A|Q14563;SEMA3A;NA;0,2543;0,5864;-0,050
PCDHAC2|Q9Y5I4;PCDHAC2;turquoise;0,2543;0,5864;-0,057
RPL4|P36578;RPL4;red;0,2546;0,5865;-0,144
GNG12|Q9UBI6;GNG12;green;0,2549;0,5868;0,107
VWA1|Q6PCB0;VWA1;red;0,2551;0,5868;-0,036
DNAJB11|Q9UBS4;DNAJB11;brown;0,2555;0,5872;0,052
SEC62|Q99442;SEC62;lightyellow;0,2557;0,5872;0,154
TAC3|Q9UHF0;TAC3;steelblue;0,2563;0,5879;-0,080
COL4A2|P08572;COL4A2;red;0,2564;0,5879;0,038
CST2|P09228;CST2;NA;0,2568;0,5882;-0,121
ORM2|P19652;ORM2;midnightblue;0,2571;0,5885;-0,201
KRT16|P08779;KRT16;floralwhite;0,2574;0,5887;0,215
NLGN2|Q8NFZ4;NLGN2;turquoise;0,2578;0,5891;-0,062
NRXN3|Q9Y4C0;NRXN3;turquoise;0,2587;0,5909;-0,052
DDX39B|Q13838-2;DDX39B;yellow;0,2591;0,5909;-0,132
EXTL2|Q9UBQ6;EXTL2;NA;0,2592;0,5909;-0,032
TECR|Q9NZ01;TECR;royalblue;0,2602;0,5927;-0,225
GALM|Q96C23;GALM;darkgrey;0,2606;0,5932;0,103
MLEC|Q14165;MLEC;lightyellow;0,2609;0,5934;0,040
CBLN3|Q6UW01;CBLN3;NA;0,2611;0,5934;-0,082
MMP24|Q9Y5R2;MMP24;NA;0,2618;0,5940;-0,060
GP1BA|P07359;GP1BA;NA;0,2621;0,5940;-0,149
CPE|P16870;CPE;grey;0,2622;0,5940;-0,062
GRM3|Q14832;GRM3;turquoise;0,2626;0,5940;0,088
TBR1|Q16650;TBR1;grey;0,2627;0,5940;-0,095
HS6ST1|O60243;HS6ST1;NA;0,2627;0,5940;0,073
SERPINI1|Q99574;SERPINI1;grey;0,2629;0,5940;-0,059
FRAS1|Q86XX4-2;FRAS1;NA;0,2633;0,5940;-0,087
CLIC1|O00299;CLIC1;saddlebrown;0,2633;0,5940;-0,085
CCT2|P78371;CCT2;turquoise;0,2634;0,5940;-0,115
UGP2|E7EUC7;UGP2;darkgrey;0,2640;0,5948;0,092
CCT8|P50990;CCT8;turquoise;0,2647;0,5958;-0,117
SLITRK1|Q96PX8;SLITRK1;turquoise;0,2654;0,5965;-0,089
ACYP1|G3V2U7;ACYP1;turquoise;0,2656;0,5965;0,051
TOLLIP|Q9H0E2;TOLLIP;brown;0,2657;0,5965;-0,048
COL28A1|Q2UY09;COL28A1;NA;0,2659;0,5965;-0,113
SCG3|Q8WXD2;SCG3;turquoise;0,2661;0,5965;-0,114
CLTC|A0A087WVQ6;CLTC;turquoise;0,2662;0,5965;-0,084
F13A1|P00488;F13A1;red;0,2668;0,5974;-0,075
JAG2|Q9Y219;JAG2;NA;0,2674;0,5983;-0,063
LDB3|O75112-7;LDB3;grey;0,2679;0,5990;0,148
C10orf54|Q9H7M9;C10orf54;yellowgreen;0,2687;0,5998;-0,054
PSMA5|P28066;PSMA5;steelblue;0,2688;0,5998;0,099
SPP1|P10451-3;SPP1;blue;0,2690;0,5998;0,080
ADAM17|P78536;ADAM17;white;0,2691;0,5998;-0,059
LYVE1|Q9Y5Y7;LYVE1;red;0,2700;0,6007;-0,058
CD48|A0A087X1S7;CD48;NA;0,2700;0,6007;-0,082
BCHE|P06276;BCHE;grey;0,2701;0,6007;-0,076
CDC37|Q16543;CDC37;brown;0,2714;0,6026;0,115
S100A1|Q5T7Y6;S100A1;green;0,2717;0,6026;0,086
NUDT1|P36639;NUDT1;NA;0,2718;0,6026;0,042
ACAA1|P09110;ACAA1;pink;0,2719;0,6026;0,074
GALNT7|E9PBY3;GALNT7;NA;0,2723;0,6030;0,152
SPHK1|Q9NYA1-2;SPHK1;NA;0,2728;0,6035;-0,090
IGHV3-35|A0A0C4DH35;IGHV3-35;NA;0,2730;0,6035;0,198
SNX12|A0A087X0R6;SNX12;violet;0,2731;0,6035;-0,140
CSMD2|Q7Z408-4;CSMD2;brown;0,2737;0,6042;-0,056
MMP9|P14780;MMP9;turquoise;0,2740;0,6042;0,126
BCAS1|O75363-2;BCAS1;yellow;0,2740;0,6042;0,055
C10orf35|Q96D05-2;C10orf35;orangered4;0,2756;0,6063;-0,072
CXADR|P78310;CXADR;turquoise;0,2757;0,6063;0,056
TNFRSF11A|Q9Y6Q6;TNFRSF11A;NA;0,2760;0,6063;0,094
PGAM2|P15259;PGAM2;blue;0,2760;0,6063;0,058
EZR|E7EQR4;EZR;green;0,2760;0,6063;0,041
MAN1A2|O60476;MAN1A2;NA;0,2768;0,6073;0,052
CRISP3|J3KPA1;CRISP3;NA;0,2769;0,6073;-0,115
TMX3|Q96JJ7;TMX3;turquoise;0,2772;0,6074;0,093
VDAC1|P21796;VDAC1;brown;0,2780;0,6087;-0,105
SBSPON|Q8IVN8;SBSPON;NA;0,2783;0,6089;-0,067
UBE2V2|Q15819;UBE2V2;brown;0,2789;0,6099;0,082
ATP6V1G2|H0Y474;ATP6V1G2;brown;0,2794;0,6104;-0,179
CFL1|E9PK25;CFL1;yellow;0,2798;0,6106;0,067
COL12A1|Q99715;COL12A1;red;0,2799;0,6106;-0,044
STX6|O43752;STX6;paleturquoise;0,2805;0,6114;0,109
SNED1|Q8TER0;SNED1;NA;0,2812;0,6124;-0,049
CKM|P06732;CKM;brown;0,2814;0,6124;-0,116
ADAMTS1|Q9UHI8;ADAMTS1;NA;0,2821;0,6136;-0,077
CLMP|Q9H6B4;CLMP;NA;0,2827;0,6144;-0,049
PPP1CA|P62136-2;PPP1CA;royalblue;0,2830;0,6145;0,045
ANXA6|P08133;ANXA6;darkolivegreen;0,2833;0,6145;-0,088
CNR1|P21554;CNR1;brown;0,2836;0,6145;-0,076
ADCYAP1R1|E9PFU5;ADCYAP1R1;darkgrey;0,2837;0,6145;0,067
TMEM59L|Q9UK28;TMEM59L;grey;0,2847;0,6164;-0,080
BTN2A2|Q8WVV5;BTN2A2;NA;0,2850;0,6165;0,052
ARHGAP36|Q6ZRI8;ARHGAP36;NA;0,2852;0,6165;-0,135
DLL1|O00548;DLL1;NA;0,2858;0,6174;0,058
FUCA1|P04066;FUCA1;greenyellow;0,2862;0,6174;0,085
IGHA2|P01877;IGHA2;midnightblue;0,2865;0,6174;-0,113
PSEN1|P49768;PSEN1;sienna3;0,2870;0,6174;0,058
TLR3|O15455;TLR3;NA;0,2871;0,6174;-0,065
RHOB|P62745;RHOB;purple;0,2872;0,6174;0,183
KRT1|P04264;KRT1;floralwhite;0,2872;0,6174;0,123
CD83|Q01151;CD83;NA;0,2873;0,6174;0,033
OLFM2|O95897;OLFM2;brown;0,2882;0,6188;-0,048
HP|P00738;HP;midnightblue;0,2887;0,6194;0,213
PBXIP1|Q96AQ6;PBXIP1;green;0,2891;0,6195;0,039
COL26A1|Q96A83;COL26A1;NA;0,2892;0,6195;0,091
PGM1|P36871;PGM1;green;0,2894;0,6195;0,067
IDS|P22304;IDS;yellow;0,2899;0,6201;0,053
PIN1|Q13526;PIN1;brown;0,2903;0,6202;0,102
ACTN1|P12814-4;ACTN1;turquoise;0,2910;0,6202;-0,091
ISLR2|Q6UXK2;ISLR2;grey;0,2910;0,6202;-0,075
CD93|Q9NPY3;CD93;grey;0,2911;0,6202;-0,048
ATP2B4|P23634;ATP2B4;turquoise;0,2913;0,6202;-0,114
SPRY2|A0A0A0MTG9;SPRY2;grey60;0,2914;0,6202;-0,042
UBL3|O95164;UBL3;yellow;0,2915;0,6202;0,069
ICAM3|P32942;ICAM3;NA;0,2917;0,6202;-0,085
NBL1|P41271-2;NBL1;grey;0,2921;0,6202;-0,084
MANSC1|Q9H8J5;MANSC1;NA;0,2922;0,6202;0,047
GLDN|Q6ZMI3;GLDN;NA;0,2925;0,6202;0,088
LSR|Q86X29;LSR;NA;0,2927;0,6202;-0,035
EPHA4|P54764;EPHA4;turquoise;0,2927;0,6202;-0,064
RAB4A|P20338;RAB4A;turquoise;0,2941;0,6227;-0,068
LYZ|P61626;LYZ;grey;0,2948;0,6231;-0,083
MAPRE1|Q15691;MAPRE1;blue;0,2950;0,6231;-0,120
THBS1|P07996;THBS1;red;0,2950;0,6231;0,063
SPP1|P10451-2;SPP1;blue;0,2956;0,6239;0,093
ENPP1|P22413;ENPP1;NA;0,2960;0,6243;-0,071
F11R|Q9Y624;F11R;darkgreen;0,2966;0,6251;0,068
ATP6V1E1|P36543;ATP6V1E1;brown;0,2978;0,6273;0,060
PTGR2|Q8N8N7;PTGR2;green;0,2989;0,6292;-0,093
GPM6A|P51674;GPM6A;turquoise;0,2993;0,6292;-0,119
MAP6|Q96JE9;MAP6;tan;0,2994;0,6292;0,200
TENM4|Q6N022;TENM4;turquoise;0,3001;0,6296;-0,107
CPLX1|O14810;CPLX1;turquoise;0,3002;0,6296;0,072
ABCA2|A0A087WXK5;ABCA2;blue;0,3003;0,6296;-0,055
HBG2|P69891;HBG2;grey;0,3005;0,6297;-0,253
IGHG1|A0A087X1C7;IGHG1;midnightblue;0,3010;0,6298;-0,160
GALNT13|Q8IUC8;GALNT13;NA;0,3010;0,6298;-0,052
ALDH1A1|P00352;ALDH1A1;blue;0,3013;0,6300;-0,098
BMP1|P13497;BMP1;NA;0,3018;0,6301;-0,062
KCNJ6|P48051;KCNJ6;tan;0,3018;0,6301;0,071
EEF1B2|P24534;EEF1B2;turquoise;0,3025;0,6311;-0,114
SDC1|P18827;SDC1;NA;0,3034;0,6325;-0,067
HBE1|P02100;HBE1;grey;0,3042;0,6334;-0,499
TPP1|O14773;TPP1;green;0,3046;0,6334;-0,072
AHNAK|Q09666;AHNAK;saddlebrown;0,3050;0,6334;-0,058
TUBA1A|Q71U36;TUBA1A;NA;0,3050;0,6334;-0,107
HLA-E|Q2L6I5;HLA-E;lightgreen;0,3053;0,6334;-0,047
SNCA|P37840;SNCA;tan;0,3054;0,6334;0,069
CD74|P04233-2;CD74;darkred;0,3055;0,6334;-0,098
NSF|P46459;NSF;turquoise;0,3056;0,6334;0,050
CAPZA1|P52907;CAPZA1;yellow;0,3059;0,6334;0,048
HIST1H2BN|U3KQK0;HIST1H2BN;blue;0,3062;0,6334;-0,128
KREMEN1|Q96MU8-2;KREMEN1;NA;0,3063;0,6334;-0,033
PDHB|P11177;PDHB;turquoise;0,3080;0,6366;-0,145
FLNA|P21333;FLNA;red;0,3106;0,6411;-0,043
DSTN|P60981;DSTN;turquoise;0,3108;0,6411;-0,083
FAM20C|Q8IXL6;FAM20C;NA;0,3109;0,6411;-0,034
ATP5H|O75947;ATP5H;brown;0,3115;0,6420;-0,180
ANK2|Q01484;ANK2;darkgreen;0,3120;0,6422;0,121
LAIR2|Q6ISS4;LAIR2;NA;0,3120;0,6422;-0,104
CHSY3|Q70JA7;CHSY3;NA;0,3128;0,6433;-0,049
PDAP1|Q13442;PDAP1;tan;0,3131;0,6434;0,071
NOTCH3|Q9UM47;NOTCH3;NA;0,3134;0,6435;-0,045
TIMP2|P16035;TIMP2;lightgreen;0,3145;0,6448;-0,066
CPAMD8|Q8IZJ3;CPAMD8;NA;0,3145;0,6448;-0,040
ENPP4|Q9Y6X5;ENPP4;yellow;0,3147;0,6448;0,068
MAPK1|P28482;MAPK1;pink;0,3155;0,6460;-0,136
CPNE3|O75131;CPNE3;green;0,3157;0,6460;-0,150
CSPG4|Q6UVK1;CSPG4;blue;0,3169;0,6475;-0,030
KLK8|O60259-2;KLK8;NA;0,3171;0,6475;-0,143
ANXA4|P09525;ANXA4;saddlebrown;0,3171;0,6475;0,080
ITIH5|C9J2H1;ITIH5;red;0,3176;0,6481;-0,055
C6|P13671;C6;midnightblue;0,3195;0,6508;-0,115
ITIH3|Q06033;ITIH3;midnightblue;0,3197;0,6508;-0,108
CLEC11A|Q9Y240;CLEC11A;NA;0,3198;0,6508;-0,054
AP2M1|E9PFW3;AP2M1;turquoise;0,3200;0,6508;-0,149
HLA-DRA|P01903;HLA-DRA;darkgrey;0,3201;0,6508;-0,113
CACNB1|Q02641;CACNB1;turquoise;0,3208;0,6515;0,081
H2AFX|P16104;H2AFX;blue;0,3209;0,6515;-0,096
C2|P06681;C2;NA;0,3214;0,6519;-0,080
CACNA2D1|P54289-4;CACNA2D1;turquoise;0,3215;0,6519;-0,068
RPS4X|P62701;RPS4X;black;0,3218;0,6520;-0,139
GDF15|Q99988;GDF15;NA;0,3226;0,6531;0,105
NCAN|O14594;NCAN;brown;0,3232;0,6538;0,051
RNF11|Q9Y3C5;RNF11;grey;0,3235;0,6541;0,069
SIRPA|P78324;SIRPA;turquoise;0,3251;0,6567;0,079
C1S|P09871;C1S;midnightblue;0,3253;0,6567;-0,038
AARS|P49588-2;AARS;salmon;0,3257;0,6567;-0,076
PSAP|P07602-3;PSAP;saddlebrown;0,3257;0,6567;-0,053
NCAM1|H7BYX6;NCAM1;grey;0,3261;0,6570;-0,122
SORCS1|Q8WY21-2;SORCS1;turquoise;0,3264;0,6570;-0,060
ALB|P02768;ALB;midnightblue;0,3265;0,6570;-0,125
MDK|E9PLM6;MDK;lightgreen;0,3271;0,6576;0,078
SERINC1|Q9NRX5;SERINC1;grey;0,3273;0,6576;-0,068
ACP2|P11117;ACP2;magenta;0,3281;0,6587;-0,074
PGA4|P0DJD7;PGA4;NA;0,3289;0,6598;-0,109
CPVL|Q9H3G5;CPVL;grey;0,3304;0,6614;-0,108
DPP7|Q9UHL4;DPP7;grey;0,3306;0,6614;-0,083
BMPR2|Q13873;BMPR2;orange;0,3308;0,6614;-0,045
RIC3|Q7Z5B4;RIC3;NA;0,3309;0,6614;0,051
ARL3|P36405;ARL3;green;0,3310;0,6614;0,103
CSPG5|O95196;CSPG5;darkmagenta;0,3310;0,6614;-0,071
HAPLN4|Q86UW8;HAPLN4;brown;0,3314;0,6617;0,046
SPP1|P10451-5;SPP1;blue;0,3317;0,6617;0,096
ATP1A2|P50993;ATP1A2;turquoise;0,3320;0,6617;0,049
EFEMP1|Q12805;EFEMP1;blue;0,3321;0,6617;-0,063
SORCS2|Q96PQ0;SORCS2;magenta;0,3324;0,6619;0,062
ITFG1|Q8TB96;ITFG1;turquoise;0,3335;0,6635;-0,053
MXRA7|P84157;MXRA7;cyan;0,3338;0,6636;-0,067
GOLIM4|F8W785;GOLIM4;darkgrey;0,3340;0,6636;0,043
RNF112|Q9ULX5-2;RNF112;turquoise;0,3344;0,6639;-0,100
CBLN1|P23435;CBLN1;grey;0,3348;0,6640;-0,065
NPM1|P06748;NPM1;grey;0,3349;0,6640;-0,076
SPOCK2|Q92563;SPOCK2;saddlebrown;0,3353;0,6644;0,052
CHGA|P10645;CHGA;grey;0,3358;0,6649;-0,088
CNBP|P62633;CNBP;black;0,3364;0,6656;-0,085
TMCO3|Q6UWJ1;TMCO3;NA;0,3381;0,6677;0,066
CNTN4|Q8IWV2-3;CNTN4;brown;0,3381;0,6677;0,044
PGF|P49763-3;PGF;NA;0,3382;0,6677;-0,079
